items_a,items_b,items_c,time
7,16,7,1663069760
7,16,7,1663069761
7,16,7,1663069761
7,16,7,1663069762
7,16,7,1663069762
7,16,7,1663069763
7,16,7,1663069763
7,16,7,1663069764
7,16,7,1663069764
7,16,7,1663069765
7,16,7,1663069765
7,16,7,1663069766
7,16,7,1663069766
7,16,7,1663069767
7,16,7,1663069767
7,16,7,1663069768
7,16,7,1663069768
7,16,7,1663069769
7,16,7,1663069769
7,16,7,1663069770
7,16,7,1663069770
7,16,7,1663069771
7,16,7,1663069771
7,16,7,1663069772
7,16,7,1663069772
7,16,7,1663069773
7,16,7,1663069773
7,16,7,1663069774
7,16,7,1663069774
7,16,7,1663069775
7,16,7,1663069775
7,16,7,1663069776
7,16,7,1663069776
7,16,7,1663069777
7,16,7,1663069777
7,16,7,1663069778
7,16,7,1663069778
7,16,7,1663069779
7,16,7,1663069779
7,16,7,1663069780
7,16,7,1663069780
7,16,7,1663069781
7,16,7,1663069781
7,16,7,1663069782
7,16,7,1663069782
7,16,7,1663069783
7,16,7,1663069783
7,16,7,1663069784
7,16,7,1663069784
7,16,7,1663069785
7,16,7,1663069785
7,16,7,1663069786
7,16,7,1663069786
7,16,7,1663069787
7,16,7,1663069787
7,16,7,1663069788
7,16,7,1663069788
7,16,7,1663069789
7,16,7,1663069789
7,16,7,1663069790
7,16,7,1663069790
7,16,7,1663069791
7,16,7,1663069791
7,16,7,1663069792
7,16,7,1663069792
7,16,7,1663069793
7,16,7,1663069793
7,16,7,1663069794
7,16,7,1663069794
7,16,7,1663069795
7,16,7,1663069795
7,16,7,1663069796
7,16,7,1663069796
7,15,7,1663069797
7,15,7,1663069797
7,15,7,1663069798
7,15,7,1663069798
7,15,7,1663069799
7,15,7,1663069799
7,15,7,1663069800
7,15,7,1663069800
7,15,7,1663069801
7,15,7,1663069801
7,15,7,1663069802
7,15,7,1663069802
7,15,7,1663069803
7,15,7,1663069803
7,15,7,1663069804
7,15,7,1663069804
7,15,7,1663069805
6,15,7,1663069805
6,15,7,1663069806
6,15,7,1663069806
6,15,7,1663069807
6,15,7,1663069807
6,15,7,1663069808
6,15,7,1663069808
6,15,7,1663069809
6,15,7,1663069809
6,15,7,1663069810
6,15,7,1663069810
6,15,7,1663069811
6,15,7,1663069811
6,15,7,1663069812
5,15,7,1663069812
5,15,7,1663069813
5,15,7,1663069813
5,15,7,1663069814
5,15,7,1663069814
5,15,7,1663069815
5,15,7,1663069815
5,15,7,1663069816
5,15,7,1663069816
5,15,7,1663069817
5,15,7,1663069817
5,15,7,1663069818
5,15,6,1663069818
5,15,6,1663069819
5,15,6,1663069819
5,15,6,1663069820
5,15,6,1663069820
5,15,6,1663069821
5,15,6,1663069821
5,15,6,1663069822
5,15,6,1663069822
5,15,6,1663069823
5,15,6,1663069823
5,15,6,1663069824
4,15,6,1663069824
4,15,6,1663069825
4,15,6,1663069825
4,15,6,1663069826
4,15,6,1663069826
4,15,6,1663069827
4,15,5,1663069827
4,15,5,1663069828
4,15,5,1663069828
4,15,5,1663069829
4,15,5,1663069829
4,15,5,1663069830
4,15,5,1663069830
4,15,5,1663069831
4,15,5,1663069831
4,15,5,1663069832
4,15,5,1663069832
4,15,5,1663069833
4,15,5,1663069833
4,15,5,1663069834
4,15,5,1663069834
4,15,5,1663069835
4,15,5,1663069835
4,15,5,1663069836
4,15,5,1663069836
4,15,5,1663069837
4,15,5,1663069837
4,15,5,1663069838
4,15,5,1663069838
4,15,5,1663069839
4,15,5,1663069839
4,15,5,1663069840
4,15,5,1663069840
4,15,5,1663069841
4,15,5,1663069841
4,15,5,1663069842
4,15,5,1663069842
4,15,5,1663069843
4,15,5,1663069843
4,15,5,1663069844
4,15,5,1663069844
4,15,5,1663069845
4,15,5,1663069845
4,15,5,1663069846
4,15,5,1663069846
4,15,5,1663069847
4,15,5,1663069847
4,15,5,1663069848
4,15,5,1663069848
4,15,5,1663069849
