items_a,items_b,items_c,time
11,4,15,1663072245
11,4,15,1663072246
11,4,15,1663072246
11,4,15,1663072247
11,4,15,1663072247
11,4,15,1663072248
11,4,15,1663072248
11,4,15,1663072249
11,4,15,1663072249
11,4,15,1663072250
11,4,15,1663072250
11,4,15,1663072251
11,4,15,1663072251
11,4,15,1663072252
11,4,15,1663072252
11,4,15,1663072253
11,4,15,1663072253
11,4,15,1663072254
11,4,15,1663072254
11,4,15,1663072255
11,4,15,1663072255
11,4,15,1663072256
11,4,15,1663072256
11,4,15,1663072257
11,4,15,1663072257
11,4,15,1663072258
11,4,15,1663072258
11,4,15,1663072259
11,4,15,1663072259
11,4,15,1663072260
11,4,15,1663072260
11,4,15,1663072261
11,4,15,1663072261
11,4,15,1663072262
11,4,15,1663072262
11,4,15,1663072263
11,4,15,1663072263
11,4,15,1663072264
11,4,15,1663072264
11,4,15,1663072265
11,4,15,1663072265
11,4,15,1663072266
11,4,15,1663072266
11,4,15,1663072267
11,4,15,1663072267
11,4,15,1663072268
11,4,15,1663072268
11,4,15,1663072269
11,4,15,1663072269
11,4,15,1663072270
11,4,15,1663072270
11,4,15,1663072271
11,4,15,1663072271
11,4,15,1663072272
11,4,15,1663072272
11,4,15,1663072273
11,4,15,1663072273
11,4,15,1663072274
11,4,15,1663072274
11,4,15,1663072275
11,4,15,1663072275
11,4,15,1663072276
11,4,15,1663072276
11,4,15,1663072277
11,4,15,1663072277
11,4,15,1663072278
11,4,15,1663072278
11,4,15,1663072279
11,4,15,1663072279
11,4,15,1663072280
11,4,15,1663072280
10,4,15,1663072281
10,4,15,1663072281
10,4,15,1663072282
10,4,15,1663072282
10,4,15,1663072283
10,4,15,1663072283
10,4,15,1663072284
10,4,15,1663072284
10,4,15,1663072285
10,4,15,1663072285
10,4,15,1663072286
10,4,15,1663072286
10,4,15,1663072287
10,4,15,1663072287
10,4,15,1663072288
9,4,15,1663072288
9,4,15,1663072289
9,4,15,1663072289
9,4,15,1663072290
9,4,15,1663072290
9,4,15,1663072291
9,4,15,1663072291
9,4,15,1663072292
9,4,15,1663072292
9,4,15,1663072293
9,4,15,1663072293
9,4,15,1663072294
9,4,15,1663072294
9,4,15,1663072295
9,4,15,1663072295
9,4,15,1663072296
9,4,15,1663072296
9,4,15,1663072297
9,4,15,1663072297
9,4,15,1663072298
9,4,15,1663072298
9,4,15,1663072299
9,4,15,1663072299
9,4,15,1663072300
9,4,15,1663072300
9,4,15,1663072301
9,4,15,1663072301
9,4,15,1663072302
9,4,15,1663072302
9,4,15,1663072303
9,4,15,1663072303
9,4,15,1663072304
9,4,15,1663072304
9,4,15,1663072305
9,4,15,1663072305
9,4,15,1663072306
9,4,15,1663072306
9,4,15,1663072307
9,4,15,1663072307
9,4,15,1663072308
9,4,15,1663072308
9,4,15,1663072309
9,4,15,1663072309
9,4,14,1663072310
9,4,14,1663072310
9,4,14,1663072311
9,4,14,1663072311
9,4,14,1663072312
9,4,14,1663072312
8,4,14,1663072313
8,4,13,1663072313
8,4,13,1663072314
8,4,13,1663072314
8,4,13,1663072315
8,4,13,1663072315
8,4,13,1663072316
7,4,13,1663072316
7,4,13,1663072317
7,4,13,1663072317
7,4,13,1663072318
7,4,13,1663072318
7,4,13,1663072319
7,4,13,1663072319
7,4,13,1663072320
7,4,13,1663072320
7,4,13,1663072321
7,4,13,1663072321
7,4,13,1663072322
7,4,13,1663072322
7,4,13,1663072323
7,4,13,1663072323
7,4,13,1663072324
7,4,13,1663072324
7,4,13,1663072325
7,4,13,1663072325
7,4,13,1663072326
7,4,13,1663072326
7,4,13,1663072327
7,4,13,1663072327
7,4,13,1663072328
7,4,13,1663072328
7,4,13,1663072329
7,4,13,1663072329
7,4,13,1663072330
7,4,13,1663072330
7,4,13,1663072331
7,4,13,1663072331
7,4,13,1663072332
7,4,13,1663072332
7,4,13,1663072333
7,4,13,1663072333
7,4,13,1663072334
7,4,13,1663072334
7,4,13,1663072335
7,4,13,1663072335
7,4,13,1663072336
7,4,13,1663072336
7,4,13,1663072337
7,4,13,1663072337
7,4,13,1663072338
7,4,13,1663072338
7,4,13,1663072339
7,4,13,1663072339
7,4,13,1663072340
7,4,13,1663072340
7,4,13,1663072341
7,4,13,1663072341
7,4,13,1663072342
7,4,13,1663072342
7,4,13,1663072343
7,4,13,1663072343
7,4,13,1663072344
7,4,13,1663072344
7,4,13,1663072345
7,4,13,1663072345
7,4,13,1663072346
7,4,13,1663072346
7,4,13,1663072347
7,4,13,1663072347
7,4,13,1663072348
7,4,13,1663072348
7,4,13,1663072349
7,4,13,1663072349
7,4,13,1663072350
7,4,13,1663072350
7,4,13,1663072351
7,4,13,1663072351
7,4,13,1663072352
7,4,13,1663072352
7,4,13,1663072353
7,4,13,1663072353
7,4,13,1663072354
7,4,13,1663072354
7,4,13,1663072355
7,4,13,1663072355
7,4,13,1663072356
7,4,13,1663072356
7,4,13,1663072357
7,4,13,1663072357
7,4,13,1663072358
7,4,13,1663072358
7,4,13,1663072359
7,4,13,1663072359
7,4,13,1663072360
7,4,13,1663072360
7,4,13,1663072361
7,4,13,1663072361
7,4,13,1663072362
7,4,13,1663072362
7,4,13,1663072363
7,4,13,1663072363
7,4,13,1663072364
7,4,13,1663072364
7,4,13,1663072365
7,4,13,1663072365
7,4,13,1663072366
7,4,13,1663072366
7,4,13,1663072367
7,4,13,1663072367
7,4,13,1663072368
7,4,13,1663072368
7,4,13,1663072369
7,4,13,1663072369
7,4,13,1663072370
7,4,13,1663072370
7,4,13,1663072371
7,4,13,1663072371
7,4,13,1663072372
7,4,13,1663072372
7,4,13,1663072373
7,4,13,1663072373
7,4,13,1663072374
7,4,13,1663072374
7,4,13,1663072375
7,4,13,1663072375
7,4,13,1663072376
7,4,13,1663072376
7,4,13,1663072377
7,4,13,1663072377
7,4,13,1663072378
7,4,13,1663072378
7,4,13,1663072379
7,4,13,1663072379
7,4,13,1663072380
7,4,13,1663072380
7,4,13,1663072381
7,4,13,1663072381
7,4,13,1663072382
7,4,13,1663072382
7,4,13,1663072383
7,4,13,1663072383
7,4,13,1663072384
7,4,13,1663072384
7,4,13,1663072385
7,4,13,1663072385
7,4,13,1663072386
7,4,13,1663072386
7,4,13,1663072387
7,4,13,1663072387
7,4,13,1663072388
7,4,13,1663072388
7,4,13,1663072389
7,4,13,1663072389
7,4,13,1663072390
7,4,13,1663072390
7,4,13,1663072391
7,4,13,1663072391
7,4,13,1663072392
7,4,13,1663072392
7,4,13,1663072393
7,4,13,1663072393
7,4,13,1663072394
7,4,13,1663072394
7,4,13,1663072395
7,4,13,1663072395
7,4,13,1663072396
7,4,13,1663072396
7,4,13,1663072397
7,4,13,1663072397
7,4,13,1663072398
7,4,13,1663072398
7,4,13,1663072399
7,4,13,1663072399
7,4,13,1663072400
7,4,13,1663072400
7,4,13,1663072401
7,4,13,1663072401
7,4,13,1663072402
7,3,13,1663072402
7,3,13,1663072403
7,3,13,1663072403
7,3,13,1663072404
7,3,13,1663072404
7,3,13,1663072405
7,3,13,1663072405
7,3,13,1663072406
