robot_name,item_picked,start_time,drop_time,end_time,time_taken
/robot_namespace_4,,,,1663069678,1663069678
/robot_namespace_5,,,,1663069688,1663069688
/robot_namespace_0,,,,1663069713,1663069713
/robot_namespace_1,,,,1663069719,1663069719
/robot_namespace_2,,,,1663069728,1663069728
/robot_namespace_3,,,,1663069740,1663069740
/robot_namespace_5,2,1663069691,1663069738,1663069791,100
/robot_namespace_4,0,1663069681,1663069765,1663069820,139
/robot_namespace_0,0,1663069717,1663069795,1663069832,115
/robot_namespace_2,0,1663069731,1663069783,1663069856,125
/robot_namespace_3,1,1663069743,1663069824,1663069869,126
/robot_namespace_5,0,1663069795,1663069833,1663069878,83
/robot_namespace_1,2,1663069723,1663069818,1663069881,158
/robot_namespace_3,1,1663069872,1663069921,1663069962,90
/robot_namespace_5,0,1663069881,1663069927,1663069968,87
/robot_namespace_0,2,1663069836,1663069885,1663070020,184
/robot_namespace_1,2,1663069884,1663069990,1663070041,157
/robot_namespace_2,2,1663069859,1663069993,1663070044,185
/robot_namespace_3,0,1663069965,1663070012,1663070061,96
/robot_namespace_4,2,1663069824,1663069975,1663070071,247
/robot_namespace_5,2,1663069971,1663070027,1663070077,106
/robot_namespace_2,0,1663070048,1663070084,1663070153,105
/robot_namespace_0,0,1663070025,1663070062,1663070153,128
/robot_namespace_3,1,1663070066,1663070126,1663070168,102
/robot_namespace_1,2,1663070044,1663070126,1663070189,145
/robot_namespace_4,0,1663070074,1663070169,1663070210,136
/robot_namespace_5,2,1663070081,1663070142,1663070225,144
/robot_namespace_0,1,1663070156,1663070193,1663070236,80
/robot_namespace_1,0,1663070192,1663070232,1663070280,88
/robot_namespace_4,0,1663070213,1663070258,1663070290,77
/robot_namespace_3,0,1663070171,1663070208,1663070310,139
/robot_namespace_2,2,1663070156,1663070226,1663070316,160
/robot_namespace_1,1,1663070283,1663070323,1663070367,84
/robot_namespace_5,2,1663070228,1663070285,1663070432,204
/robot_namespace_4,2,1663070293,1663070395,1663070442,149
/robot_namespace_0,2,1663070240,1663070380,1663070450,210
