items_a,items_b,items_c,time
9,12,9,1663144614
9,12,9,1663144615
9,12,9,1663144615
9,12,9,1663144616
9,12,9,1663144616
9,12,9,1663144617
9,12,9,1663144617
9,12,9,1663144618
9,12,9,1663144618
9,12,9,1663144619
9,12,9,1663144619
9,12,9,1663144620
9,12,9,1663144620
9,12,9,1663144621
9,12,9,1663144621
9,12,9,1663144622
9,12,9,1663144622
9,12,9,1663144623
9,12,9,1663144623
9,12,9,1663144624
9,12,9,1663144624
9,12,9,1663144625
9,12,9,1663144625
9,12,9,1663144626
9,12,9,1663144626
9,12,9,1663144627
9,12,9,1663144627
9,12,9,1663144628
9,12,9,1663144628
9,12,9,1663144629
9,12,9,1663144629
9,12,9,1663144630
9,12,9,1663144630
9,12,9,1663144631
9,12,9,1663144631
9,12,9,1663144632
9,12,9,1663144632
9,12,9,1663144633
9,12,9,1663144633
9,12,9,1663144634
9,12,9,1663144634
9,12,9,1663144635
9,12,9,1663144635
9,12,9,1663144636
9,12,9,1663144636
9,12,9,1663144637
9,12,9,1663144637
9,12,9,1663144638
9,12,9,1663144638
9,12,9,1663144639
9,12,9,1663144639
9,12,9,1663144640
9,12,9,1663144640
9,12,9,1663144641
9,12,9,1663144641
9,12,9,1663144642
9,12,9,1663144642
9,12,9,1663144643
9,12,9,1663144643
9,12,9,1663144644
9,12,9,1663144644
9,12,9,1663144645
9,12,9,1663144645
9,12,9,1663144646
9,12,9,1663144646
9,12,9,1663144647
9,12,9,1663144647
9,12,9,1663144648
9,12,9,1663144648
9,12,9,1663144649
9,12,9,1663144649
9,12,9,1663144650
9,12,9,1663144650
9,12,9,1663144651
9,12,9,1663144651
9,12,9,1663144652
9,12,9,1663144652
9,12,9,1663144653
9,12,9,1663144653
9,12,9,1663144654
9,12,9,1663144654
9,12,9,1663144655
9,12,9,1663144655
9,12,9,1663144656
9,12,9,1663144656
9,12,9,1663144657
9,12,9,1663144657
9,12,9,1663144658
9,12,9,1663144658
9,12,9,1663144659
9,12,9,1663144659
9,12,9,1663144660
9,12,9,1663144660
9,12,9,1663144661
9,12,9,1663144661
9,12,9,1663144662
9,12,9,1663144662
9,12,9,1663144663
9,12,9,1663144663
9,12,9,1663144664
9,12,9,1663144664
9,12,9,1663144665
9,12,9,1663144665
9,12,9,1663144666
9,12,9,1663144666
9,12,9,1663144667
9,12,9,1663144667
9,12,9,1663144668
9,12,9,1663144668
9,12,9,1663144669
9,12,9,1663144669
9,12,9,1663144670
9,12,9,1663144670
9,12,9,1663144671
9,12,9,1663144671
9,12,9,1663144672
9,12,9,1663144672
9,12,9,1663144673
9,12,9,1663144673
9,12,9,1663144674
9,12,9,1663144674
9,12,9,1663144675
9,12,9,1663144675
9,12,9,1663144676
9,12,9,1663144676
9,12,9,1663144677
9,12,9,1663144677
9,12,9,1663144678
9,12,9,1663144678
9,12,9,1663144679
9,12,9,1663144679
9,12,9,1663144680
9,12,9,1663144680
9,12,9,1663144681
9,12,9,1663144681
9,12,9,1663144682
9,12,9,1663144682
9,12,9,1663144683
9,12,9,1663144683
9,12,9,1663144684
9,12,9,1663144684
9,12,9,1663144685
9,12,9,1663144685
9,12,9,1663144686
9,11,9,1663144686
9,11,9,1663144687
9,11,9,1663144687
9,11,9,1663144688
9,11,9,1663144688
9,11,9,1663144689
8,11,9,1663144689
8,11,9,1663144690
8,11,9,1663144690
8,11,9,1663144691
8,11,9,1663144691
8,11,9,1663144692
8,11,9,1663144692
8,11,9,1663144693
8,11,9,1663144693
8,11,9,1663144694
8,11,9,1663144694
8,10,9,1663144695
8,10,9,1663144695
8,10,9,1663144696
8,10,9,1663144696
8,10,9,1663144697
8,10,9,1663144697
8,10,9,1663144698
8,10,9,1663144698
8,10,9,1663144699
8,10,9,1663144699
8,10,9,1663144700
8,10,9,1663144700
8,10,9,1663144701
8,10,9,1663144701
7,10,9,1663144702
7,10,9,1663144702
7,10,9,1663144703
7,10,9,1663144703
6,10,9,1663144704
6,10,9,1663144704
6,10,9,1663144705
6,10,9,1663144705
6,10,9,1663144706
6,10,9,1663144706
6,10,9,1663144707
6,10,9,1663144707
6,10,9,1663144708
6,10,9,1663144708
6,10,9,1663144709
6,10,9,1663144709
6,10,9,1663144710
6,10,9,1663144710
6,10,9,1663144711
6,10,9,1663144711
6,10,9,1663144712
6,10,9,1663144712
6,10,9,1663144713
6,10,9,1663144713
6,10,9,1663144714
6,10,9,1663144714
6,10,9,1663144715
6,10,9,1663144715
6,10,9,1663144716
6,10,9,1663144716
6,10,9,1663144717
6,10,9,1663144717
6,10,9,1663144718
6,9,9,1663144718
6,9,9,1663144719
6,9,9,1663144719
6,9,9,1663144720
6,9,9,1663144720
6,9,9,1663144721
6,9,9,1663144721
6,9,9,1663144722
6,9,9,1663144722
6,9,9,1663144723
6,9,9,1663144723
6,9,9,1663144724
6,9,9,1663144724
6,9,9,1663144725
6,9,9,1663144725
6,9,9,1663144726
6,9,9,1663144726
6,9,9,1663144727
6,9,9,1663144727
6,9,9,1663144728
6,9,9,1663144728
6,9,9,1663144729
6,9,9,1663144729
6,9,9,1663144730
6,9,9,1663144730
6,9,9,1663144731
6,9,9,1663144731
6,9,9,1663144732
6,9,9,1663144732
6,9,9,1663144733
6,9,9,1663144733
6,9,9,1663144734
6,9,9,1663144734
6,9,9,1663144735
6,9,9,1663144735
6,9,9,1663144736
6,9,9,1663144736
6,9,9,1663144737
6,9,9,1663144737
6,9,9,1663144738
6,9,9,1663144738
6,9,9,1663144739
6,9,9,1663144739
6,9,9,1663144740
6,9,9,1663144740
6,9,9,1663144741
6,9,9,1663144741
6,9,9,1663144742
6,9,9,1663144742
6,9,9,1663144743
6,9,9,1663144743
6,9,9,1663144744
6,9,9,1663144744
6,9,9,1663144745
6,9,9,1663144745
6,9,9,1663144746
6,9,9,1663144746
6,9,9,1663144747
6,9,9,1663144747
6,9,9,1663144748
6,9,9,1663144748
6,9,9,1663144749
6,9,9,1663144749
6,9,9,1663144750
6,9,9,1663144750
6,9,9,1663144751
6,9,9,1663144751
6,9,9,1663144752
6,9,9,1663144752
6,9,9,1663144753
6,9,9,1663144753
6,9,9,1663144754
6,9,9,1663144754
6,9,9,1663144755
6,9,9,1663144755
6,9,9,1663144756
6,9,9,1663144756
6,9,9,1663144757
