items_a,items_b,items_c,time
10,8,12,1663071604
10,8,12,1663071605
10,8,12,1663071605
10,8,12,1663071606
10,8,12,1663071606
10,8,12,1663071607
10,8,12,1663071607
10,8,12,1663071608
10,8,12,1663071608
10,8,12,1663071609
10,8,12,1663071609
10,8,12,1663071610
10,8,12,1663071610
10,8,12,1663071611
10,8,12,1663071611
10,8,12,1663071612
10,8,12,1663071612
10,8,12,1663071613
10,8,12,1663071613
10,8,12,1663071614
10,8,12,1663071614
10,8,12,1663071615
10,8,12,1663071615
10,8,12,1663071616
10,8,12,1663071616
10,8,12,1663071617
10,8,12,1663071617
10,8,12,1663071618
10,8,12,1663071618
10,8,12,1663071619
10,8,12,1663071619
10,8,12,1663071620
10,8,12,1663071620
10,8,12,1663071621
10,8,12,1663071621
10,8,12,1663071622
10,8,12,1663071622
10,8,12,1663071623
10,8,12,1663071623
10,8,12,1663071624
10,8,12,1663071624
10,8,12,1663071625
10,8,12,1663071625
10,8,12,1663071626
10,8,12,1663071626
10,8,12,1663071627
10,8,12,1663071627
10,8,12,1663071628
10,8,12,1663071628
10,8,12,1663071629
10,8,12,1663071629
10,8,12,1663071630
10,8,12,1663071630
10,8,12,1663071631
10,8,12,1663071631
10,8,12,1663071632
10,8,12,1663071632
10,8,12,1663071633
10,8,12,1663071633
10,8,12,1663071634
10,8,12,1663071634
10,8,12,1663071635
10,8,12,1663071635
10,8,12,1663071636
10,8,12,1663071636
10,8,12,1663071637
10,8,12,1663071637
10,8,12,1663071638
10,8,12,1663071638
10,8,12,1663071639
10,8,12,1663071639
10,8,12,1663071640
10,8,12,1663071640
10,8,12,1663071641
10,8,12,1663071641
10,8,12,1663071642
10,8,12,1663071642
10,8,12,1663071643
10,8,12,1663071643
10,8,12,1663071644
10,8,12,1663071644
10,8,12,1663071645
10,8,12,1663071645
10,8,12,1663071646
10,8,12,1663071646
10,8,12,1663071647
10,8,12,1663071647
10,8,12,1663071648
10,8,12,1663071648
10,8,12,1663071649
10,8,12,1663071649
10,8,12,1663071650
10,8,12,1663071650
10,8,12,1663071651
10,8,12,1663071651
10,8,12,1663071652
10,8,12,1663071652
10,8,11,1663071653
10,8,11,1663071653
10,8,11,1663071654
10,8,11,1663071654
10,8,11,1663071655
10,8,11,1663071655
10,8,11,1663071656
10,8,11,1663071656
10,8,11,1663071657
10,8,11,1663071657
10,8,11,1663071658
10,8,11,1663071658
10,8,11,1663071659
10,8,11,1663071659
10,8,11,1663071660
10,8,11,1663071660
10,8,11,1663071661
10,8,11,1663071661
10,8,11,1663071662
10,8,11,1663071662
10,8,11,1663071663
10,8,11,1663071663
10,8,11,1663071664
10,8,11,1663071664
10,8,11,1663071665
10,8,11,1663071665
10,8,11,1663071666
10,8,11,1663071666
10,8,11,1663071667
10,8,11,1663071667
10,8,11,1663071668
10,8,11,1663071668
10,8,11,1663071669
10,8,11,1663071669
10,8,11,1663071670
10,8,11,1663071670
10,8,11,1663071671
10,8,11,1663071671
10,8,11,1663071672
10,8,11,1663071672
10,8,11,1663071673
10,8,11,1663071673
10,8,11,1663071674
10,8,11,1663071674
10,8,11,1663071675
10,8,11,1663071675
10,8,11,1663071676
10,8,11,1663071676
10,8,11,1663071677
10,8,11,1663071677
10,8,11,1663071678
10,8,11,1663071678
10,8,11,1663071679
10,8,11,1663071679
10,8,11,1663071680
10,8,11,1663071680
10,8,11,1663071681
10,8,11,1663071681
10,8,11,1663071682
10,8,11,1663071682
10,8,11,1663071683
10,8,11,1663071683
10,8,11,1663071684
10,8,11,1663071684
10,8,11,1663071685
10,7,11,1663071685
10,7,11,1663071686
10,7,11,1663071686
10,7,11,1663071687
10,7,11,1663071687
10,7,11,1663071688
10,7,11,1663071688
10,7,11,1663071689
10,7,11,1663071689
10,7,11,1663071690
10,7,11,1663071690
10,7,11,1663071691
10,7,11,1663071691
10,7,11,1663071692
10,7,10,1663071692
10,7,10,1663071693
10,7,10,1663071693
10,7,10,1663071694
10,7,10,1663071694
10,7,10,1663071695
9,7,10,1663071695
9,7,10,1663071696
9,7,10,1663071696
9,7,10,1663071697
9,7,10,1663071697
9,7,10,1663071698
9,7,10,1663071698
9,7,10,1663071699
9,7,10,1663071699
8,7,10,1663071700
8,7,9,1663071700
8,7,9,1663071701
8,7,9,1663071701
8,7,9,1663071702
8,7,9,1663071702
8,7,9,1663071703
8,7,9,1663071703
8,7,9,1663071704
8,7,9,1663071704
8,7,9,1663071705
8,7,9,1663071705
8,7,9,1663071706
8,7,9,1663071706
8,7,9,1663071707
8,7,9,1663071707
8,7,9,1663071708
8,7,9,1663071708
8,7,9,1663071709
8,7,9,1663071709
8,7,9,1663071710
8,7,9,1663071710
8,7,9,1663071711
8,7,9,1663071711
8,7,9,1663071712
8,7,9,1663071712
8,7,9,1663071713
8,7,9,1663071713
8,7,9,1663071714
8,7,9,1663071714
8,7,9,1663071715
8,7,9,1663071715
8,7,9,1663071716
8,7,9,1663071716
8,7,9,1663071717
8,7,9,1663071717
8,7,9,1663071718
8,7,9,1663071718
8,7,9,1663071719
8,7,9,1663071719
8,7,9,1663071720
8,7,9,1663071720
8,7,9,1663071721
8,7,9,1663071721
8,7,9,1663071722
8,7,9,1663071722
8,7,9,1663071723
8,7,9,1663071723
8,7,9,1663071724
8,7,9,1663071724
8,7,9,1663071725
8,7,9,1663071725
8,7,9,1663071726
8,7,9,1663071726
8,7,9,1663071727
8,7,9,1663071727
8,7,9,1663071728
8,7,9,1663071728
8,7,9,1663071729
8,7,9,1663071729
8,7,9,1663071730
8,7,9,1663071730
8,7,9,1663071731
8,7,9,1663071731
8,7,9,1663071732
8,7,9,1663071732
8,7,9,1663071733
8,7,9,1663071733
8,7,9,1663071734
8,7,9,1663071734
8,7,9,1663071735
8,7,9,1663071735
8,7,9,1663071736
8,7,9,1663071736
8,7,9,1663071737
8,7,9,1663071737
8,7,9,1663071738
8,7,9,1663071738
8,7,9,1663071739
8,7,9,1663071739
8,7,9,1663071740
8,7,9,1663071740
8,7,9,1663071741
8,7,9,1663071741
8,7,9,1663071742
8,7,9,1663071742
8,7,9,1663071743
8,7,9,1663071743
8,7,9,1663071744
8,7,9,1663071744
8,7,9,1663071745
8,7,9,1663071745
8,7,9,1663071746
8,7,9,1663071746
8,7,9,1663071747
8,7,9,1663071747
8,7,9,1663071748
8,7,9,1663071748
8,7,9,1663071749
8,7,9,1663071749
8,7,9,1663071750
8,7,9,1663071750
8,7,9,1663071751
8,7,9,1663071751
8,7,9,1663071752
8,7,9,1663071752
8,7,9,1663071753
8,7,9,1663071753
8,7,9,1663071754
8,7,9,1663071754
8,7,9,1663071755
8,7,9,1663071755
8,7,9,1663071756
8,7,9,1663071756
8,7,9,1663071757
8,7,9,1663071757
8,7,9,1663071758
8,7,9,1663071758
8,7,9,1663071759
8,7,9,1663071759
8,7,9,1663071760
8,7,9,1663071760
8,7,9,1663071761
8,7,9,1663071761
8,7,9,1663071762
8,7,9,1663071762
8,7,9,1663071763
8,7,9,1663071763
8,7,9,1663071764
8,7,9,1663071764
8,7,9,1663071765
8,7,9,1663071765
8,7,9,1663071766
8,7,9,1663071766
8,7,9,1663071767
8,7,9,1663071767
8,7,9,1663071768
8,7,9,1663071768
8,7,9,1663071769
8,7,9,1663071769
8,7,9,1663071770
8,7,9,1663071770
8,7,9,1663071771
8,7,9,1663071771
8,7,9,1663071772
8,7,9,1663071772
8,7,9,1663071773
8,7,9,1663071773
8,7,9,1663071774
8,7,9,1663071774
8,7,9,1663071775
8,7,9,1663071775
8,7,9,1663071776
8,7,9,1663071776
8,7,9,1663071777
8,7,9,1663071777
8,7,9,1663071778
8,7,9,1663071778
8,7,9,1663071779
8,7,9,1663071779
8,7,9,1663071780
8,7,9,1663071780
8,7,9,1663071781
8,7,9,1663071781
8,7,9,1663071782
8,7,9,1663071782
8,7,9,1663071783
8,7,9,1663071783
8,7,9,1663071784
8,7,9,1663071784
8,7,9,1663071785
8,7,9,1663071785
8,7,9,1663071786
8,7,9,1663071786
8,7,9,1663071787
8,7,9,1663071787
8,7,9,1663071788
8,7,9,1663071788
8,7,9,1663071789
8,7,9,1663071789
8,7,9,1663071790
8,7,9,1663071790
8,7,9,1663071791
8,7,9,1663071791
8,7,9,1663071792
8,7,9,1663071792
8,7,9,1663071793
8,7,9,1663071793
8,7,9,1663071794
8,7,9,1663071794
8,7,9,1663071795
8,7,9,1663071795
8,7,9,1663071796
8,7,9,1663071796
8,7,9,1663071797
8,7,9,1663071797
8,7,9,1663071798
8,7,9,1663071798
8,7,9,1663071799
8,7,9,1663071799
8,7,9,1663071800
8,7,9,1663071800
8,7,9,1663071801
8,7,9,1663071801
8,7,9,1663071802
8,7,9,1663071802
8,7,9,1663071803
8,7,9,1663071803
8,7,9,1663071804
8,7,8,1663071804
8,7,8,1663071805
8,7,8,1663071805
8,7,8,1663071806
8,7,8,1663071806
8,7,8,1663071807
8,7,8,1663071807
8,7,8,1663071808
8,7,8,1663071808
8,7,8,1663071809
8,7,8,1663071809
8,7,8,1663071810
8,7,8,1663071810
8,7,8,1663071811
8,7,8,1663071811
8,7,8,1663071812
8,7,8,1663071812
8,7,8,1663071813
8,7,8,1663071813
8,7,8,1663071814
8,7,8,1663071814
8,7,8,1663071815
8,7,8,1663071815
8,7,8,1663071816
8,7,8,1663071816
8,7,8,1663071817
8,7,8,1663071817
8,7,8,1663071818
8,7,8,1663071818
8,7,8,1663071819
8,7,8,1663071819
8,7,8,1663071820
7,7,8,1663071820
7,7,8,1663071821
7,7,8,1663071821
7,7,8,1663071822
7,7,8,1663071822
7,7,8,1663071823
7,7,8,1663071823
7,7,8,1663071824
7,7,8,1663071824
7,7,8,1663071825
7,7,8,1663071825
