items_a,items_b,items_c
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
11,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,11,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
10,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,8
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,10,7
9,9,7
9,9,7
9,9,7
9,9,7
9,9,7
9,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,9,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
8,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,8,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,7,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
6,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
5,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,6,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,7
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,6
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,5,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,5
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
4,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,4,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
3,3,4
