items_a,items_b,items_c
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,6,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
12,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,5,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,12
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
11,4,11
10,4,11
10,4,11
10,4,11
10,4,11
10,4,11
10,4,11
10,4,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
10,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,11
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
9,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
8,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,10
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
7,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
6,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,9
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
5,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
4,3,8
