items_a,items_b,items_c
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,13
9,8,12
9,8,12
9,8,12
9,8,12
9,8,12
9,8,12
9,8,11
9,8,11
9,8,11
9,8,11
9,8,11
9,8,11
9,8,11
9,8,11
9,8,11
9,8,11
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,10
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
8,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
7,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
6,8,9
5,8,9
5,8,9
