items_a,items_b,items_c
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,12,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
7,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,11,11
6,10,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,11
6,9,10
6,9,10
6,9,10
6,9,10
6,9,10
6,9,10
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
6,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,9,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,9
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,8,8
5,7,8
5,7,8
5,7,8
5,7,8
5,7,8
5,7,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
5,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
4,5,8
