items_a,items_b,items_c,time
14,10,6,1663070886
14,10,6,1663070886
14,10,6,1663070887
14,10,6,1663070887
14,10,6,1663070888
14,10,6,1663070888
14,10,6,1663070889
14,10,6,1663070889
14,10,6,1663070890
14,10,6,1663070890
14,10,6,1663070891
14,10,6,1663070891
14,10,6,1663070892
14,10,6,1663070892
14,10,6,1663070893
14,10,6,1663070893
14,10,6,1663070894
14,10,6,1663070894
14,10,6,1663070895
14,10,6,1663070895
14,10,6,1663070896
14,10,6,1663070896
14,10,6,1663070897
14,10,6,1663070897
14,10,6,1663070898
14,10,6,1663070898
14,10,6,1663070899
14,10,6,1663070899
14,10,6,1663070900
14,10,6,1663070900
14,10,6,1663070901
14,10,6,1663070901
14,10,6,1663070902
14,10,6,1663070902
14,10,6,1663070903
14,10,6,1663070903
14,10,6,1663070904
14,10,6,1663070904
14,10,6,1663070905
14,10,6,1663070905
14,10,6,1663070906
14,10,6,1663070906
14,10,6,1663070907
14,10,6,1663070907
14,10,6,1663070908
14,10,6,1663070908
14,10,6,1663070909
14,10,6,1663070909
14,10,6,1663070910
14,10,6,1663070910
13,10,6,1663070911
13,10,6,1663070911
13,10,6,1663070912
13,10,6,1663070912
13,10,6,1663070913
13,10,6,1663070913
13,10,6,1663070914
13,10,6,1663070914
13,10,6,1663070915
13,10,6,1663070915
13,10,6,1663070916
13,10,6,1663070916
13,10,6,1663070917
13,10,6,1663070917
13,10,6,1663070918
13,10,6,1663070918
13,10,6,1663070919
13,10,6,1663070919
13,10,6,1663070920
13,10,6,1663070920
13,10,6,1663070921
13,10,6,1663070921
13,10,6,1663070922
13,10,6,1663070922
13,10,6,1663070923
13,10,6,1663070923
13,10,6,1663070924
13,9,6,1663070924
13,9,6,1663070925
13,9,6,1663070925
13,9,6,1663070926
13,9,6,1663070926
13,9,6,1663070927
13,9,6,1663070927
13,9,6,1663070928
13,9,6,1663070928
13,9,6,1663070929
13,9,6,1663070929
13,9,6,1663070930
13,9,6,1663070930
12,9,6,1663070931
12,9,6,1663070931
12,9,6,1663070932
12,9,6,1663070932
12,9,6,1663070933
12,9,6,1663070933
12,9,5,1663070934
12,9,5,1663070934
12,9,5,1663070935
12,9,5,1663070935
12,9,5,1663070936
12,9,5,1663070936
12,9,5,1663070937
12,9,5,1663070937
12,9,5,1663070938
12,9,5,1663070938
12,9,5,1663070939
12,9,5,1663070939
12,9,5,1663070940
12,9,5,1663070940
12,9,4,1663070941
12,9,4,1663070941
12,8,4,1663070942
12,8,4,1663070942
12,8,4,1663070943
12,8,4,1663070943
12,8,4,1663070944
12,8,4,1663070944
12,8,4,1663070945
12,8,4,1663070945
12,8,4,1663070946
12,8,4,1663070946
12,8,4,1663070947
12,8,4,1663070947
12,8,4,1663070948
12,8,4,1663070948
12,8,4,1663070949
12,8,4,1663070949
12,8,4,1663070950
12,8,4,1663070950
12,8,4,1663070951
12,8,4,1663070951
12,8,4,1663070952
12,8,4,1663070952
12,8,4,1663070953
12,8,4,1663070953
12,8,4,1663070954
12,8,4,1663070954
12,8,4,1663070955
12,8,4,1663070955
12,8,4,1663070956
12,8,4,1663070956
12,8,4,1663070957
12,8,4,1663070957
12,8,4,1663070958
12,8,4,1663070958
12,8,4,1663070959
12,8,4,1663070959
12,8,4,1663070960
12,8,4,1663070960
12,8,4,1663070961
12,8,4,1663070961
12,8,4,1663070962
12,8,4,1663070962
12,8,4,1663070963
12,8,4,1663070963
12,8,4,1663070964
12,8,4,1663070964
12,8,4,1663070965
12,8,4,1663070965
12,8,4,1663070966
12,8,4,1663070966
12,8,4,1663070967
12,8,4,1663070967
12,8,4,1663070968
12,8,4,1663070968
12,8,4,1663070969
12,8,4,1663070969
12,8,4,1663070970
12,8,4,1663070970
12,8,4,1663070971
12,8,4,1663070971
12,8,4,1663070972
12,8,4,1663070972
12,8,4,1663070973
12,8,4,1663070973
12,8,4,1663070974
12,8,4,1663070974
12,8,4,1663070975
12,8,4,1663070975
12,8,4,1663070976
12,8,4,1663070976
12,8,4,1663070977
12,8,4,1663070977
