items_a,items_b,items_c,time
10,12,8,1663142506
10,12,8,1663142507
10,12,8,1663142507
10,12,8,1663142508
10,12,8,1663142508
10,12,8,1663142509
10,12,8,1663142509
10,12,8,1663142510
10,12,8,1663142510
10,12,8,1663142511
10,12,8,1663142511
10,12,8,1663142512
10,12,8,1663142512
10,12,8,1663142513
10,12,8,1663142513
10,12,8,1663142514
10,12,8,1663142514
10,12,8,1663142515
10,12,8,1663142515
10,12,8,1663142516
10,12,8,1663142516
10,12,8,1663142517
10,12,8,1663142517
10,12,8,1663142518
10,12,8,1663142518
10,12,8,1663142519
10,12,8,1663142519
10,12,8,1663142520
10,12,8,1663142520
10,12,8,1663142521
10,12,8,1663142521
10,12,8,1663142522
10,12,8,1663142522
10,12,8,1663142523
10,12,8,1663142523
10,12,8,1663142524
10,12,8,1663142524
10,12,8,1663142525
10,12,8,1663142525
10,12,8,1663142526
10,12,8,1663142526
10,12,8,1663142527
10,12,8,1663142527
10,12,8,1663142528
10,12,8,1663142528
10,12,8,1663142529
10,12,8,1663142529
10,12,8,1663142530
10,12,8,1663142530
10,12,8,1663142531
10,12,8,1663142531
10,12,8,1663142532
10,12,8,1663142532
10,12,8,1663142533
10,12,8,1663142533
10,12,8,1663142534
10,12,8,1663142534
10,12,8,1663142535
10,12,8,1663142535
10,12,8,1663142536
10,12,8,1663142536
10,12,8,1663142537
10,12,8,1663142537
10,12,8,1663142538
10,12,8,1663142538
10,12,8,1663142539
10,12,8,1663142539
10,12,8,1663142540
10,12,8,1663142540
10,12,8,1663142541
10,12,8,1663142541
10,12,8,1663142542
10,12,8,1663142542
10,12,8,1663142543
10,12,8,1663142543
10,12,8,1663142544
10,12,8,1663142544
10,12,8,1663142545
10,12,8,1663142545
10,12,8,1663142546
10,12,8,1663142546
10,12,8,1663142547
10,12,8,1663142547
10,12,8,1663142548
10,11,8,1663142548
10,11,8,1663142549
10,11,8,1663142549
10,11,8,1663142550
10,11,8,1663142550
10,11,8,1663142551
10,11,8,1663142551
10,11,8,1663142552
10,11,8,1663142552
10,11,8,1663142553
10,11,8,1663142553
10,11,8,1663142554
10,11,8,1663142554
10,11,8,1663142555
10,11,8,1663142555
10,11,8,1663142556
10,11,8,1663142556
10,11,8,1663142557
10,11,8,1663142557
10,11,8,1663142558
10,11,8,1663142558
10,11,8,1663142559
10,11,8,1663142559
10,11,8,1663142560
10,11,8,1663142560
10,11,8,1663142561
10,11,8,1663142561
10,11,8,1663142562
10,11,8,1663142562
10,11,8,1663142563
10,11,8,1663142563
10,11,8,1663142564
10,11,8,1663142564
10,11,8,1663142565
10,11,8,1663142565
10,11,8,1663142566
10,11,8,1663142566
10,11,8,1663142567
10,11,8,1663142567
10,11,8,1663142568
10,11,8,1663142568
10,11,8,1663142569
10,11,8,1663142569
10,11,8,1663142570
10,11,8,1663142570
10,11,8,1663142571
10,11,8,1663142571
10,11,8,1663142572
10,11,8,1663142572
10,11,8,1663142573
10,11,8,1663142573
10,11,8,1663142574
10,11,8,1663142574
10,11,8,1663142575
10,11,8,1663142575
10,10,8,1663142576
10,10,8,1663142576
10,10,8,1663142577
10,10,8,1663142577
10,10,8,1663142578
10,10,8,1663142578
9,10,8,1663142579
9,10,8,1663142579
9,10,8,1663142580
9,10,8,1663142580
9,10,8,1663142581
9,10,8,1663142581
9,10,8,1663142582
9,10,8,1663142582
8,10,8,1663142583
8,10,8,1663142583
8,10,8,1663142584
8,10,8,1663142584
8,10,8,1663142585
8,10,8,1663142585
8,10,8,1663142586
8,10,8,1663142586
8,10,8,1663142587
8,10,8,1663142587
8,10,8,1663142588
8,10,8,1663142588
8,10,8,1663142589
8,10,8,1663142589
8,10,8,1663142590
7,10,8,1663142590
7,10,8,1663142591
7,10,8,1663142591
7,10,8,1663142592
7,10,8,1663142592
7,10,8,1663142593
6,10,8,1663142593
6,10,8,1663142594
6,10,8,1663142594
6,10,8,1663142595
6,10,8,1663142595
6,10,8,1663142596
6,10,8,1663142596
6,10,8,1663142597
6,10,8,1663142597
6,10,8,1663142598
6,10,8,1663142598
6,10,8,1663142599
6,10,8,1663142599
6,10,8,1663142600
6,10,8,1663142600
6,10,8,1663142601
6,10,8,1663142601
6,10,8,1663142602
6,10,8,1663142602
6,10,8,1663142603
6,10,8,1663142603
6,10,8,1663142604
6,10,8,1663142604
6,10,8,1663142605
6,10,8,1663142605
6,10,8,1663142606
6,10,8,1663142606
6,10,8,1663142607
6,10,8,1663142607
6,10,8,1663142608
6,10,8,1663142608
6,10,8,1663142609
6,10,8,1663142609
6,10,8,1663142610
6,10,8,1663142610
6,10,8,1663142611
6,10,8,1663142611
6,10,8,1663142612
6,10,8,1663142612
6,10,8,1663142613
6,10,8,1663142613
6,10,8,1663142614
6,10,8,1663142614
6,10,8,1663142615
6,10,8,1663142615
6,10,8,1663142616
6,10,8,1663142616
6,10,8,1663142617
6,10,8,1663142617
6,10,8,1663142618
6,10,8,1663142618
6,10,8,1663142619
6,10,8,1663142619
6,10,8,1663142620
6,10,8,1663142620
6,10,8,1663142621
6,10,8,1663142621
6,10,8,1663142622
6,10,8,1663142622
6,10,8,1663142623
6,10,8,1663142623
6,10,8,1663142624
6,10,8,1663142624
6,10,8,1663142625
6,10,8,1663142625
6,10,8,1663142626
6,10,8,1663142626
6,10,8,1663142627
6,10,8,1663142627
6,10,8,1663142628
6,10,8,1663142628
6,10,8,1663142629
6,10,8,1663142629
6,10,8,1663142630
6,10,8,1663142630
6,10,8,1663142631
6,10,8,1663142631
6,10,8,1663142632
6,10,8,1663142632
6,10,8,1663142633
6,10,8,1663142633
6,10,8,1663142634
6,10,8,1663142634
6,10,8,1663142635
6,10,8,1663142635
6,10,8,1663142636
6,10,8,1663142636
6,10,8,1663142637
6,10,8,1663142637
6,10,8,1663142638
6,10,8,1663142638
6,10,8,1663142639
6,10,8,1663142639
6,10,8,1663142640
6,10,8,1663142640
6,10,8,1663142641
6,10,8,1663142641
6,10,8,1663142642
6,10,8,1663142642
6,10,8,1663142643
6,10,8,1663142643
6,10,8,1663142644
6,10,8,1663142644
6,10,8,1663142645
6,10,8,1663142645
6,10,8,1663142646
6,10,8,1663142646
6,10,8,1663142647
6,10,8,1663142647
6,10,8,1663142648
6,10,8,1663142648
6,10,8,1663142649
6,10,8,1663142649
6,10,8,1663142650
6,10,8,1663142650
6,10,8,1663142651
6,10,8,1663142651
6,10,8,1663142652
6,10,8,1663142652
6,10,8,1663142653
6,10,8,1663142653
6,10,8,1663142654
6,10,8,1663142654
6,10,8,1663142655
6,10,8,1663142655
6,10,8,1663142656
6,10,8,1663142656
6,10,8,1663142657
6,10,8,1663142657
6,10,8,1663142658
6,10,8,1663142658
6,10,8,1663142659
6,10,8,1663142659
6,10,8,1663142660
6,10,8,1663142660
6,10,8,1663142661
6,10,8,1663142661
6,10,8,1663142662
6,10,8,1663142662
6,10,8,1663142663
6,10,8,1663142663
6,10,8,1663142664
6,10,8,1663142664
6,10,8,1663142665
6,10,8,1663142665
6,10,8,1663142666
6,10,8,1663142666
6,10,8,1663142667
6,10,8,1663142667
6,10,8,1663142668
6,10,8,1663142668
6,10,8,1663142669
6,10,8,1663142669
6,10,8,1663142670
6,10,8,1663142670
6,10,8,1663142671
6,10,8,1663142671
6,10,8,1663142672
6,10,8,1663142672
6,10,8,1663142673
6,10,8,1663142673
6,10,8,1663142674
6,10,8,1663142674
6,10,8,1663142675
6,10,8,1663142675
6,10,8,1663142676
6,10,8,1663142676
6,10,8,1663142677
6,10,8,1663142677
6,10,8,1663142678
6,10,8,1663142678
6,10,8,1663142679
6,10,8,1663142679
6,10,8,1663142680
6,10,8,1663142680
6,10,8,1663142681
6,10,8,1663142681
6,10,8,1663142682
6,10,8,1663142682
6,10,8,1663142683
6,10,8,1663142683
6,10,8,1663142684
6,10,8,1663142684
6,10,8,1663142685
6,10,8,1663142685
6,10,8,1663142686
6,10,8,1663142686
6,10,8,1663142687
6,10,8,1663142687
6,10,8,1663142688
6,10,8,1663142688
6,10,8,1663142689
6,10,8,1663142689
6,10,8,1663142690
6,10,8,1663142690
6,10,8,1663142691
6,10,8,1663142691
6,10,8,1663142692
6,10,8,1663142692
6,10,8,1663142693
6,10,8,1663142693
6,10,8,1663142694
6,10,8,1663142694
6,10,8,1663142695
6,10,8,1663142695
6,10,8,1663142696
6,10,8,1663142696
6,10,8,1663142697
6,10,8,1663142697
6,10,8,1663142698
6,10,8,1663142698
6,10,8,1663142699
6,10,8,1663142699
