items_a,items_b,items_c,time
8,14,8,1663070176
8,14,8,1663070176
8,14,8,1663070177
8,14,8,1663070177
8,14,8,1663070178
8,14,8,1663070178
8,14,8,1663070179
8,14,8,1663070179
8,14,8,1663070180
8,14,8,1663070180
8,14,8,1663070181
8,14,8,1663070181
8,14,8,1663070182
8,14,8,1663070182
8,14,8,1663070183
8,14,8,1663070183
8,14,8,1663070184
8,14,8,1663070184
8,14,8,1663070185
8,14,8,1663070185
8,14,8,1663070186
8,14,8,1663070186
8,14,8,1663070187
8,14,8,1663070187
8,14,8,1663070188
8,14,8,1663070188
8,14,8,1663070189
8,14,8,1663070189
8,14,8,1663070190
8,14,8,1663070190
8,14,8,1663070191
8,14,8,1663070191
8,14,8,1663070192
8,14,8,1663070192
8,14,8,1663070193
8,14,8,1663070193
8,14,8,1663070194
8,14,8,1663070194
8,14,8,1663070195
8,14,8,1663070195
8,14,8,1663070196
8,14,8,1663070196
8,14,8,1663070197
8,14,8,1663070197
8,14,8,1663070198
8,14,8,1663070198
8,14,8,1663070199
8,14,8,1663070199
8,14,8,1663070200
8,14,8,1663070200
8,14,8,1663070201
8,14,8,1663070201
8,14,8,1663070202
8,14,8,1663070202
8,14,8,1663070203
8,14,8,1663070203
8,14,8,1663070204
8,14,8,1663070204
8,14,8,1663070205
8,14,8,1663070205
8,14,8,1663070206
8,14,8,1663070206
8,14,8,1663070207
8,14,8,1663070207
8,14,8,1663070208
8,14,8,1663070208
8,14,8,1663070209
8,14,8,1663070209
8,14,8,1663070210
8,14,8,1663070210
8,14,8,1663070211
8,14,8,1663070211
8,14,8,1663070212
8,14,8,1663070212
8,14,8,1663070213
8,14,8,1663070213
8,14,8,1663070214
8,14,8,1663070214
8,14,8,1663070215
8,14,8,1663070215
8,14,8,1663070216
8,14,8,1663070216
8,14,8,1663070217
8,14,8,1663070217
8,14,8,1663070218
8,14,8,1663070218
8,14,8,1663070219
8,14,8,1663070219
8,14,8,1663070220
8,14,8,1663070220
8,14,8,1663070221
8,14,8,1663070221
8,14,8,1663070222
8,14,8,1663070222
8,14,8,1663070223
8,14,8,1663070223
8,14,8,1663070224
8,14,8,1663070224
8,14,8,1663070225
8,14,8,1663070225
8,14,8,1663070226
8,14,8,1663070226
8,14,8,1663070227
7,14,8,1663070227
7,14,8,1663070228
7,14,8,1663070228
7,14,8,1663070229
7,14,8,1663070229
7,14,8,1663070230
7,14,8,1663070230
7,14,8,1663070231
7,14,8,1663070231
7,14,8,1663070232
7,14,8,1663070232
7,14,8,1663070233
7,14,8,1663070233
7,14,8,1663070234
7,14,8,1663070234
7,14,8,1663070235
7,14,8,1663070235
7,14,8,1663070236
7,14,8,1663070236
7,14,8,1663070237
7,14,8,1663070237
7,14,8,1663070238
7,14,8,1663070238
7,14,8,1663070239
7,14,8,1663070239
7,14,8,1663070240
7,14,8,1663070240
7,14,8,1663070241
7,14,8,1663070241
7,14,8,1663070242
7,14,8,1663070242
7,14,8,1663070243
7,14,8,1663070243
7,14,8,1663070244
7,14,8,1663070244
7,14,8,1663070245
7,14,8,1663070245
7,14,8,1663070246
7,14,8,1663070246
7,14,8,1663070247
7,14,8,1663070247
7,14,8,1663070248
7,14,8,1663070248
7,14,8,1663070249
7,14,8,1663070249
7,14,8,1663070250
7,14,8,1663070250
7,14,8,1663070251
7,14,8,1663070251
7,14,8,1663070252
7,14,8,1663070252
7,14,8,1663070253
7,14,8,1663070253
7,14,8,1663070254
7,14,8,1663070254
7,14,8,1663070255
7,14,8,1663070255
7,14,8,1663070256
7,14,8,1663070256
7,14,8,1663070257
7,14,8,1663070257
7,14,8,1663070258
7,13,8,1663070258
7,13,8,1663070259
7,13,8,1663070259
7,13,8,1663070260
7,13,8,1663070260
7,13,8,1663070261
7,13,8,1663070261
7,13,8,1663070262
7,13,8,1663070262
7,13,8,1663070263
7,13,8,1663070263
7,13,8,1663070264
7,13,8,1663070264
7,13,8,1663070265
7,13,8,1663070265
7,13,8,1663070266
7,13,8,1663070266
7,13,8,1663070267
7,13,8,1663070267
7,13,8,1663070268
7,13,8,1663070268
7,13,8,1663070269
7,13,8,1663070269
7,13,8,1663070270
7,13,8,1663070270
7,13,8,1663070271
7,12,8,1663070271
7,11,8,1663070272
7,11,8,1663070272
7,11,8,1663070273
7,11,8,1663070273
7,11,8,1663070274
7,11,8,1663070274
7,11,8,1663070275
7,11,8,1663070275
7,11,8,1663070276
7,11,8,1663070276
7,11,8,1663070277
7,11,8,1663070277
7,11,8,1663070278
7,10,8,1663070278
7,10,8,1663070279
7,10,8,1663070279
7,10,8,1663070280
7,10,8,1663070280
7,10,8,1663070281
7,10,8,1663070281
7,10,8,1663070282
6,10,8,1663070282
6,10,8,1663070283
6,10,8,1663070283
6,10,8,1663070284
6,10,8,1663070284
6,10,8,1663070285
6,10,8,1663070285
6,10,8,1663070286
6,10,8,1663070286
6,10,8,1663070287
6,10,8,1663070287
6,10,8,1663070288
6,10,8,1663070288
6,10,8,1663070289
6,10,8,1663070289
6,10,8,1663070290
6,10,8,1663070290
6,10,8,1663070291
6,10,8,1663070291
6,10,8,1663070292
6,10,8,1663070292
6,10,8,1663070293
6,10,8,1663070293
6,10,8,1663070294
6,10,8,1663070294
6,10,8,1663070295
6,10,8,1663070295
6,10,8,1663070296
6,10,8,1663070296
6,10,8,1663070297
6,10,8,1663070297
6,10,8,1663070298
6,10,8,1663070298
6,10,8,1663070299
6,10,8,1663070299
6,10,8,1663070300
6,10,8,1663070300
6,10,8,1663070301
6,10,8,1663070301
6,10,8,1663070302
6,10,8,1663070302
6,10,8,1663070303
6,10,8,1663070303
6,10,8,1663070304
6,10,8,1663070304
6,10,8,1663070305
6,10,8,1663070305
6,10,8,1663070306
6,10,8,1663070306
6,10,8,1663070307
6,10,8,1663070307
6,10,8,1663070308
6,10,8,1663070308
6,10,8,1663070309
6,10,8,1663070309
6,10,8,1663070310
6,10,8,1663070310
6,10,8,1663070311
6,10,8,1663070311
6,10,8,1663070312
6,10,8,1663070312
6,10,8,1663070313
6,10,8,1663070313
6,10,8,1663070314
6,10,8,1663070314
6,10,8,1663070315
6,10,8,1663070315
6,10,8,1663070316
6,10,8,1663070316
6,10,8,1663070317
6,10,8,1663070317
6,10,8,1663070318
5,10,8,1663070318
5,10,8,1663070319
5,10,8,1663070319
5,10,8,1663070320
5,10,8,1663070320
5,10,8,1663070321
5,10,8,1663070321
5,10,8,1663070322
5,10,8,1663070322
5,10,8,1663070323
5,10,8,1663070323
5,10,8,1663070324
5,10,8,1663070324
5,10,8,1663070325
5,10,8,1663070325
5,10,8,1663070326
5,10,8,1663070326
5,10,8,1663070327
5,10,8,1663070327
5,10,8,1663070328
5,10,8,1663070328
5,10,8,1663070329
5,10,8,1663070329
5,10,8,1663070330
5,10,8,1663070330
5,10,8,1663070331
5,10,8,1663070331
5,10,8,1663070332
5,10,8,1663070332
5,10,8,1663070333
5,10,8,1663070333
5,10,8,1663070334
5,10,8,1663070334
5,10,8,1663070335
5,10,8,1663070335
5,10,8,1663070336
5,10,8,1663070336
5,10,8,1663070337
5,10,8,1663070337
5,10,8,1663070338
5,10,8,1663070338
5,10,8,1663070339
5,10,8,1663070339
5,10,8,1663070340
5,10,8,1663070340
5,10,8,1663070341
5,10,8,1663070341
5,10,8,1663070342
5,10,8,1663070342
5,10,8,1663070343
5,10,8,1663070343
5,10,8,1663070344
5,10,8,1663070344
5,10,8,1663070345
5,10,8,1663070345
5,10,8,1663070346
5,10,8,1663070346
5,10,8,1663070347
5,10,8,1663070347
5,10,8,1663070348
5,10,8,1663070348
5,10,8,1663070349
5,10,8,1663070349
5,10,8,1663070350
5,10,8,1663070350
5,10,8,1663070351
5,10,8,1663070351
5,10,8,1663070352
5,10,8,1663070352
5,10,8,1663070353
5,10,8,1663070353
5,10,8,1663070354
5,10,8,1663070354
5,10,8,1663070355
5,10,8,1663070355
5,10,8,1663070356
5,10,8,1663070356
5,10,8,1663070357
5,10,8,1663070357
5,10,8,1663070358
5,10,8,1663070358
5,10,8,1663070359
5,10,8,1663070359
5,10,8,1663070360
5,10,8,1663070360
5,10,8,1663070361
5,10,8,1663070361
5,10,8,1663070362
5,10,8,1663070362
5,10,8,1663070363
5,10,8,1663070363
5,10,8,1663070364
5,10,8,1663070364
5,10,8,1663070365
5,10,8,1663070365
5,10,8,1663070366
5,10,8,1663070366
5,10,8,1663070367
5,10,8,1663070367
5,10,8,1663070368
5,10,8,1663070368
5,10,8,1663070369
5,10,8,1663070369
5,10,8,1663070370
5,10,8,1663070370
5,10,8,1663070371
5,10,8,1663070371
5,10,8,1663070372
5,10,8,1663070372
5,10,8,1663070373
5,10,8,1663070373
5,10,8,1663070374
5,10,8,1663070374
5,10,8,1663070375
5,10,8,1663070375
5,10,8,1663070376
5,10,8,1663070376
5,10,8,1663070377
5,10,8,1663070377
5,10,8,1663070378
5,10,8,1663070378
5,10,8,1663070379
5,10,8,1663070379
5,10,8,1663070380
5,10,8,1663070380
5,10,8,1663070381
5,10,8,1663070381
5,10,8,1663070382
5,10,8,1663070382
5,10,8,1663070383
5,10,8,1663070383
5,10,8,1663070384
5,10,8,1663070384
5,10,8,1663070385
5,10,8,1663070385
5,10,8,1663070386
5,10,8,1663070386
5,10,8,1663070387
5,10,8,1663070387
