robot_name,item_picked,start_time,drop_time,end_time,time_taken
/robot_namespace_0,,,,1663144684,1663144684
/robot_namespace_2,,,,1663144687,1663144687
/robot_namespace_3,,,,1663144691,1663144691
/robot_namespace_1,,,,1663144698,1663144698
/robot_namespace_5,,,,1663144701,1663144701
/robot_namespace_4,,,,1663144716,1663144716
/robot_namespace_2,0,1663144690,1663144739,1663144828,138
/robot_namespace_1,0,1663144703,1663144760,1663144832,129
/robot_namespace_5,0,1663144704,1663144781,1663144837,133
/robot_namespace_3,1,1663144695,1663144756,1663144844,149
/robot_namespace_4,1,1663144719,1663144777,1663144858,139
/robot_namespace_0,1,1663144687,1663144739,1663144875,188
/robot_namespace_1,2,1663144835,1663144897,1663144951,116
/robot_namespace_3,0,1663144848,1663144910,1663144982,134
/robot_namespace_2,1,1663144831,1663144933,1663144985,154
/robot_namespace_0,1,1663144878,1663144926,1663144988,110
/robot_namespace_5,0,1663144840,1663144883,1663144991,151
/robot_namespace_4,1,1663144861,1663144917,1663144995,134
/robot_namespace_1,0,1663144958,1663145002,1663145045,87
/robot_namespace_0,1,1663144991,1663145030,1663145071,80
/robot_namespace_2,2,1663144988,1663145069,1663145119,131
/robot_namespace_1,2,1663145048,1663145105,1663145211,163
/robot_namespace_0,1,1663145074,1663145120,1663145214,140
/robot_namespace_2,2,1663145122,1663145228,1663145281,159
/robot_namespace_0,1,1663145217,1663145263,1663145303,86
/robot_namespace_1,1,1663145214,1663145270,1663145307,93
/robot_namespace_0,1,1663145306,1663145384,1663145430,124
/robot_namespace_2,2,1663145284,1663145336,1663145439,155
/robot_namespace_1,2,1663145310,1663145422,1663145478,168
/robot_namespace_0,0,1663145433,1663145492,1663145549,116
/robot_namespace_2,2,1663145442,1663145500,1663145571,129
/robot_namespace_1,1,1663145483,1663145533,1663145592,109
