items_a,items_b,items_c
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,10
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
8,12,9
